Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
ARREDOQUATTRO INDUSTRIE SPA;1739861209;Roma;Lazio;43045938;Sistema ARREDAMENTO
SCHWEITZER PROJECT SPA;1352250219;Bolzano/Bozen;Trentino-Alto Adige;42688349;Sistema ARREDAMENTO
NETCUCINE SRL;5506290724;Bari;Puglia;42618164;Sistema ARREDAMENTO
OSCARTIELLE SPA;225960160;Bergamo;Lombardia;41292226;Sistema ARREDAMENTO
NOVAMOBILI SPA;2048780262;Treviso;Veneto;40835462;Sistema ARREDAMENTO
DEDAR SPA;3187590157;Milano;Lombardia;39992449;Sistema ARREDAMENTO
CALIA TRADE SPA;510720774;Roma;Lazio;39818403;Sistema ARREDAMENTO
PAOLO CASTELLI SPA;512981200;Bologna;Emilia-Romagna;39102807;Sistema ARREDAMENTO
ANDREA BIZZOTTO SPA;2576930248;Vicenza;Veneto;38948920;Sistema ARREDAMENTO
INTRAC SPA;1085900296;Rovigo;Veneto;38896711;Sistema ARREDAMENTO
YACHTLINE ARREDOMARE 1618;1298310507;Pisa;Toscana;38542000;Sistema ARREDAMENTO
BAXTER SRL;913080966;Monza e della Brianza;Lombardia;37981607;Sistema ARREDAMENTO
SICIS SRL;1267680393;Ravenna;Emilia-Romagna;37890935;Sistema ARREDAMENTO
MINELLI SPA;218460160;Bergamo;Lombardia;37301640;Sistema ARREDAMENTO
PIANCA SPA;1682580269;Treviso;Veneto;36930768;Sistema ARREDAMENTO
CUBO DESIGN SRL;1579900679;Teramo;Abruzzo;36609375;Sistema ARREDAMENTO
POLO GROUP SRL;5374910726;Bari;Puglia;36452997;Sistema ARREDAMENTO
PIRCHER OBERLAND SPA;304880214;Bolzano/Bozen;Trentino-Alto Adige;36000806;Sistema ARREDAMENTO
ARMONY SPA;475290268;Treviso;Veneto;35343942;Sistema ARREDAMENTO
MOBIL PROJECT SPA;1992320265;Treviso;Veneto;34278691;Sistema ARREDAMENTO
FORMA 2000 SPA;3097200277;Venezia;Veneto;34257198;Sistema ARREDAMENTO
VALCUCINE SPA;407160936;Pordenone;Friuli-Venezia Giulia;33375866;Sistema ARREDAMENTO
INDUSTRIE VALENTINI SPA;891770406;Rimini;Emilia-Romagna;33338543;Sistema ARREDAMENTO
MITI SRL;1209430931;Treviso;Veneto;33120846;Sistema ARREDAMENTO
TINO SANA SRL;1630830162;Bergamo;Lombardia;32448782;Sistema ARREDAMENTO
B 4 LIVING SPA;2595260429;Ancona;Marche;32387448;Sistema ARREDAMENTO
MODULNOVA SRL;1120140932;Pordenone;Friuli-Venezia Giulia;32085005;Sistema ARREDAMENTO
DADA SPA;791170152;Milano;Lombardia;31055347;Sistema ARREDAMENTO
ELBI SPA;838770287;Padova;Veneto;30309156;Sistema ARREDAMENTO
MODAR SPA;697170967;Milano;Lombardia;30124066;Sistema ARREDAMENTO
TURRI SRL;3084350135;Como;Lombardia;30052613;Sistema ARREDAMENTO
LC SPA;1087790414;Pesaro Urbino;Marche;29974703;Sistema ARREDAMENTO
LAGO SPA;1508340286;Padova;Veneto;29930917;Sistema ARREDAMENTO
HOMES CASA SPA;2435570268;Treviso;Veneto;29787970;Sistema ARREDAMENTO
ESSEQUATTRO SPA;1329800245;Vicenza;Veneto;29516130;Sistema ARREDAMENTO
VITRIFRIGO SRL;391290418;Pesaro Urbino;Marche;29440360;Sistema ARREDAMENTO
EMU GROUP SPA;3765320969;Perugia;Umbria;28424966;Sistema ARREDAMENTO
SAMOA SRL;2177330269;Treviso;Veneto;28410092;Sistema ARREDAMENTO
DIESIS SRL;1480180510;Arezzo;Toscana;28311689;Sistema ARREDAMENTO
IGAP SPA;140560202;Mantova;Lombardia;28203486;Sistema ARREDAMENTO
CAP DESIGN SPA;4311900965;Monza e della Brianza;Lombardia;27935275;Sistema ARREDAMENTO
PAOLA LENTI SRL;2100810965;Milano;Lombardia;27664721;Sistema ARREDAMENTO
SOZZI ARREDAMENTI SRL;1532880133;Lecco;Lombardia;26435419;Sistema ARREDAMENTO
AR TRE SRL;1117350932;Pordenone;Friuli-Venezia Giulia;26081894;Sistema ARREDAMENTO
MOROSO SPA;272580309;Udine;Friuli-Venezia Giulia;25983436;Sistema ARREDAMENTO
AR-DUE SPA;611290933;Pordenone;Friuli-Venezia Giulia;25746786;Sistema ARREDAMENTO
FLOU SPA;779080969;Monza e della Brianza;Lombardia;25552326;Sistema ARREDAMENTO
ARREX 1 SPA;291360261;Treviso;Veneto;25298517;Sistema ARREDAMENTO
KIMONO SPA;1928380060;Alessandria;Piemonte;25260582;Sistema ARREDAMENTO
ERNESTOMEDA SPA;1344090418;Pesaro Urbino;Marche;24914873;Sistema ARREDAMENTO
GERVASONI SPA;2314160306;Udine;Friuli-Venezia Giulia;24325852;Sistema ARREDAMENTO
COSTA GROUP SRL;833560113;La Spezia;Liguria;23849798;Sistema ARREDAMENTO
MORETTI COMPACT SPA;2043220413;Pesaro Urbino;Marche;23621866;Sistema ARREDAMENTO
BICA SPA;172490286;Padova;Veneto;23569734;Sistema ARREDAMENTO
BONALDO SPA;225710284;Padova;Veneto;23068273;Sistema ARREDAMENTO
EUROCRYOR SRL;2488350287;Padova;Veneto;23010381;Sistema ARREDAMENTO
GIBAM SHOPS SPA;1357330412;Pesaro Urbino;Marche;22745730;Sistema ARREDAMENTO
MAGIS SPA;475570263;Venezia;Veneto;22371420;Sistema ARREDAMENTO
GROTTINI SRL;262400427;Macerata;Marche;22348878;Sistema ARREDAMENTO
MANIFATTURE TECNOLEGNO HARTZ;6196070012;Torino;Piemonte;22302684;Sistema ARREDAMENTO
BARDI SPA;411590474;Pistoia;Toscana;22184634;Sistema ARREDAMENTO
JUMBO COLLECTION SRL;2729710133;Como;Lombardia;22172916;Sistema ARREDAMENTO
LAPALMA SRL;4062120284;Padova;Veneto;21950347;Sistema ARREDAMENTO
MOBILIFICIO SANTA LUCIA;71810931;Pordenone;Friuli-Venezia Giulia;21653212;Sistema ARREDAMENTO
SCAB GIARDINO SPA;638670984;Brescia;Lombardia;21550713;Sistema ARREDAMENTO
CAMELGROUP SRL;591670930;Pordenone;Friuli-Venezia Giulia;21271696;Sistema ARREDAMENTO
PORADA ARREDI SRL;227270139;Como;Lombardia;21027749;Sistema ARREDAMENTO
DOIMO CITYLINE SRL;2300360266;Treviso;Veneto;20813809;Sistema ARREDAMENTO
RETI GRITTI SPA;544080989;Brescia;Lombardia;20808280;Sistema ARREDAMENTO
CESAR ARREDAMENTI SPA;700390263;Treviso;Veneto;20773339;Sistema ARREDAMENTO
PORRO SPA;197440134;Como;Lombardia;20703981;Sistema ARREDAMENTO
G. NICOLETTI TRADE SPA;1171030776;Roma;Lazio;20461565;Sistema ARREDAMENTO
BIEMMERETI SPA;2506240262;Treviso;Veneto;20385824;Sistema ARREDAMENTO
ARC LINEA ARREDAMENTI SPA;1275360244;Vicenza;Veneto;20154619;Sistema ARREDAMENTO
MERIDIANI SRL;6926770964;Monza e della Brianza;Lombardia;19861276;Sistema ARREDAMENTO
ASTER CUCINE SPA;880660410;Pesaro Urbino;Marche;19712156;Sistema ARREDAMENTO
POINT SRL;4340830266;Treviso;Veneto;19707470;Sistema ARREDAMENTO
HOMES CASA SRL;1168990263;Treviso;Veneto;19529521;Sistema ARREDAMENTO
NOCTIS SPA;1304200411;Pesaro Urbino;Marche;19500997;Sistema ARREDAMENTO
SB HOLDING SRL;1953330139;Como;Lombardia;19470344;Sistema ARREDAMENTO
GAMMA ARREDAMENTI;664360401;Forlì-Cesena;Emilia-Romagna;19454234;Sistema ARREDAMENTO
PROVASI SRL;305860132;Como;Lombardia;19446944;Sistema ARREDAMENTO
GRUPPO IND.LE BUONINFANTE;3485170652;Salerno;Campania;19234751;Sistema ARREDAMENTO
MEPRA SPA;550940985;Brescia;Lombardia;19172809;Sistema ARREDAMENTO
EFFEBI SPA;2084520416;Pesaro Urbino;Marche;19164971;Sistema ARREDAMENTO
EGOITALIANO SRL;1155480773;Matera;Basilicata;18657949;Sistema ARREDAMENTO
ZECCHINON CUCINE SRL;722120268;Treviso;Veneto;18521655;Sistema ARREDAMENTO
LIVING DIVANI SRL;786120964;Monza e della Brianza;Lombardia;18220000;Sistema ARREDAMENTO
MARONESE INTERNATIONAL SRL;631820933;Pordenone;Friuli-Venezia Giulia;18162206;Sistema ARREDAMENTO
BAWER SPA;5593210726;Bari;Puglia;18015818;Sistema ARREDAMENTO
VERAFLEX SRL;3582450163;Bergamo;Lombardia;17965070;Sistema ARREDAMENTO
MIDJ SPA;1102740931;Pordenone;Friuli-Venezia Giulia;17710421;Sistema ARREDAMENTO
CAEM MAGRINI SPA;311170518;Arezzo;Toscana;17707267;Sistema ARREDAMENTO
T. E J. VESTOR SPA;656750122;Varese;Lombardia;17075516;Sistema ARREDAMENTO
ZALF INDUSTRIA COMPONIBILI;319860268;Treviso;Veneto;16845004;Sistema ARREDAMENTO
ABC ITALIA SRL;5559250963;Milano;Lombardia;16727497;Sistema ARREDAMENTO
MDF ITALIA SPA;5816840960;Milano;Lombardia;16652686;Sistema ARREDAMENTO
GRAEPEL ITALIANA SPA;500630207;Mantova;Lombardia;16530988;Sistema ARREDAMENTO
N.E.W.S. SRL;6437140723;Bari;Puglia;16446712;Sistema ARREDAMENTO
PRESOTTO INDUSTRIE MOBILI;373400936;Pordenone;Friuli-Venezia Giulia;16421469;Sistema ARREDAMENTO
RODA SRL;2902140124;Varese;Lombardia;16275439;Sistema ARREDAMENTO
DITRE ITALIA SRL;4561300262;Treviso;Veneto;16200880;Sistema ARREDAMENTO
ZANOTTA SPA;695980961;Monza e della Brianza;Lombardia;16106441;Sistema ARREDAMENTO
RIVA INDUSTRIA MOBILI SPA;1404340133;Como;Lombardia;16076410;Sistema ARREDAMENTO
ITALCOM SRL;812080703;Campobasso;Molise;16032506;Sistema ARREDAMENTO
EDRA SPA;670710508;Pisa;Toscana;15934248;Sistema ARREDAMENTO
HOMES SPA;4073390264;Treviso;Veneto;15917101;Sistema ARREDAMENTO
CASPRINI GRUPPO INDUSTRIALE;1672210513;Arezzo;Toscana;15886828;Sistema ARREDAMENTO
DOIMO CUCINE SPA;3302470269;Treviso;Veneto;15563678;Sistema ARREDAMENTO
ZAF SPA;9779350157;Milano;Lombardia;15458013;Sistema ARREDAMENTO
HOME SRL;2073770261;Treviso;Veneto;15196065;Sistema ARREDAMENTO
SPAZIO RELAX SPA;1146400773;Bari;Puglia;15158462;Sistema ARREDAMENTO
ARGENTERIE RASPINI SPA;1852960515;Arezzo;Toscana;15133445;Sistema ARREDAMENTO
FABRICATORE SRL;11071080151;Milano;Lombardia;15129358;Sistema ARREDAMENTO
SELVA SRL;1409130216;Bolzano/Bozen;Trentino-Alto Adige;15106071;Sistema ARREDAMENTO
KRISTALIA SRL;1267780938;Pordenone;Friuli-Venezia Giulia;15046349;Sistema ARREDAMENTO
AURORA SRL;2522720404;Forlì-Cesena;Emilia-Romagna;15033965;Sistema ARREDAMENTO
GIEMME STILE SPA;2033690245;Vicenza;Veneto;15028366;Sistema ARREDAMENTO
CACCARO SRL;2325900286;Padova;Veneto;14959632;Sistema ARREDAMENTO
JC PASSION SRL;2657200131;Como;Lombardia;14948338;Sistema ARREDAMENTO
MOBIL SRL;3329920262;Treviso;Veneto;14945618;Sistema ARREDAMENTO
CIERRE IMBOTTITI SRL;357570407;Forlì-Cesena;Emilia-Romagna;14851073;Sistema ARREDAMENTO
LONGHI SPA;687180968;Monza e della Brianza;Lombardia;14721275;Sistema ARREDAMENTO
OLTREFRONTIERA PROGETTI SRL;2776890135;Milano;Lombardia;14716814;Sistema ARREDAMENTO
MAX DIVANI SPA;4039880721;Bari;Puglia;14583339;Sistema ARREDAMENTO
ASSO SPA;2050560230;Verona;Veneto;14571209;Sistema ARREDAMENTO
MESON S CUCINE SRL;1084680931;Pordenone;Friuli-Venezia Giulia;14486391;Sistema ARREDAMENTO
MAB HOME FURNITURE SRL;4531120261;Treviso;Veneto;14378995;Sistema ARREDAMENTO
ARCO SRL;2908430164;Bergamo;Lombardia;14325846;Sistema ARREDAMENTO
RINALDI GROUP SRL;2894780655;Salerno;Campania;14317381;Sistema ARREDAMENTO
EURO 3 PLAST SPA;331710244;Vicenza;Veneto;14276216;Sistema ARREDAMENTO
RECORD E  CUCINE SRL;4133900276;Venezia;Veneto;14221492;Sistema ARREDAMENTO
TEMPUR SEALY ITALIA SRL;13294900157;Milano;Lombardia;14192413;Sistema ARREDAMENTO
M.C.S. SRL;1461200410;Pesaro Urbino;Marche;14169282;Sistema ARREDAMENTO
ANGELO CAPPELLINI E C. SRL;1434700132;Como;Lombardia;14109774;Sistema ARREDAMENTO
MARCONI SRL;1316250511;Arezzo;Toscana;13621117;Sistema ARREDAMENTO
NAOS SRL;3489880488;Firenze;Toscana;13443439;Sistema ARREDAMENTO
MOBILFERRO SRL;216580290;Rovigo;Veneto;13435859;Sistema ARREDAMENTO
NEW WIND SRL;1775860743;Brindisi;Puglia;13325733;Sistema ARREDAMENTO
EUROMOBIL SPA;191610260;Treviso;Veneto;13266594;Sistema ARREDAMENTO
PEDINI SPA;1017520410;Pesaro Urbino;Marche;13213869;Sistema ARREDAMENTO
SABA ITALIA SRL;2905370249;Padova;Veneto;13045615;Sistema ARREDAMENTO
LOIMA SRL;1511990283;Padova;Veneto;13023169;Sistema ARREDAMENTO
CAIMI BREVETTI SPA;889250965;Monza e della Brianza;Lombardia;12992669;Sistema ARREDAMENTO
ZORDAN SRL SOCIETA BENEFIT;2734390244;Vicenza;Veneto;12844339;Sistema ARREDAMENTO
ALIAS SRL (BG);2176720163;Bergamo;Lombardia;12782379;Sistema ARREDAMENTO
CONCRETA SRL;599000148;Sondrio;Lombardia;12600296;Sistema ARREDAMENTO
LISAR SPA;3048690139;Como;Lombardia;12565625;Sistema ARREDAMENTO
GABER SRL;3402800266;Treviso;Veneto;12449916;Sistema ARREDAMENTO
MERCANTINI MOBILI SPA;110160413;Pesaro Urbino;Marche;12432315;Sistema ARREDAMENTO
DEM ITALIA SPA;1622210266;Treviso;Veneto;12419014;Sistema ARREDAMENTO
ALBERTA PACIFIC FURNITURE;614090264;Treviso;Veneto;12227774;Sistema ARREDAMENTO
GAMMA E BROSS SPA;1431270204;Mantova;Lombardia;12180929;Sistema ARREDAMENTO
VARASCHIN SPA;892090267;Treviso;Veneto;12131098;Sistema ARREDAMENTO
RUGIANO INTERIORS;2222980134;Como;Lombardia;12130614;Sistema ARREDAMENTO
MANIFATTURA FALOMO SRL;74200932;Pordenone;Friuli-Venezia Giulia;12126187;Sistema ARREDAMENTO
ESSEBI SRL (TV);2252240268;Treviso;Veneto;11950018;Sistema ARREDAMENTO
CLEI SRL;200230134;Como;Lombardia;11837391;Sistema ARREDAMENTO
DALL AGNESE SPA;66840935;Pordenone;Friuli-Venezia Giulia;11784436;Sistema ARREDAMENTO
TIME FOR BEDDING SRL;2266910971;Prato;Toscana;11736424;Sistema ARREDAMENTO
LANDINI CUCINE SRL;1675910515;Arezzo;Toscana;11692960;Sistema ARREDAMENTO
MISURA EMME SPA;1979270137;Como;Lombardia;11568776;Sistema ARREDAMENTO
SELETTI SPA;1221790205;Mantova;Lombardia;11464633;Sistema ARREDAMENTO
ASTRA CUCINE SRL;740610274;Venezia;Veneto;11342677;Sistema ARREDAMENTO
I.M.AR. SRL;188400279;Venezia;Veneto;11278310;Sistema ARREDAMENTO
PALI SPA;2151650302;Udine;Friuli-Venezia Giulia;11258745;Sistema ARREDAMENTO
TARGET POINT NEW SRL;3302470244;Vicenza;Veneto;11191087;Sistema ARREDAMENTO
METAL F.A.R. SRL;1161760176;Brescia;Lombardia;11118281;Sistema ARREDAMENTO
REFLEX SPA;2176960264;Treviso;Veneto;11073100;Sistema ARREDAMENTO
GENTILI CUCINE SRL;3062230267;Treviso;Veneto;11026306;Sistema ARREDAMENTO
GRUPPO SPAR HOLDING SRL;1458180419;Pesaro Urbino;Marche;10991696;Sistema ARREDAMENTO
BUBOLA E NAIBO SRL;856410261;Treviso;Veneto;10980160;Sistema ARREDAMENTO
EMAINOX SRL;1490610936;Pordenone;Friuli-Venezia Giulia;10893497;Sistema ARREDAMENTO
LA PIACENTINA SPA;1275110201;Mantova;Lombardia;10773020;Sistema ARREDAMENTO
LE FABLIER SPA;1843980234;Verona;Veneto;10770951;Sistema ARREDAMENTO
VENINI SPA;577980279;Venezia;Veneto;10769073;Sistema ARREDAMENTO
D INTRONO DOMENICO SRL;3377970722;Bari;Puglia;10638422;Sistema ARREDAMENTO
TUMIDEI SPA;138140405;Forlì-Cesena;Emilia-Romagna;10632436;Sistema ARREDAMENTO
DESIREE SPA;282420264;Treviso;Veneto;10591598;Sistema ARREDAMENTO
TALENTI SRL;1275500559;Terni;Umbria;10481588;Sistema ARREDAMENTO
UNO S.P.A;1141040939;Venezia;Veneto;10474190;Sistema ARREDAMENTO
FORM DESIGN SRL;5762170727;Bari;Puglia;10438487;Sistema ARREDAMENTO
ARKETIPO SRL;6109200482;Firenze;Toscana;10396210;Sistema ARREDAMENTO
WHITESSENCE SRL;4445850961;Milano;Lombardia;10363246;Sistema ARREDAMENTO
S.75 SPA;733420962;Monza e della Brianza;Lombardia;10326779;Sistema ARREDAMENTO
HILDING ANDERS ITALY SRL;1824470247;Vicenza;Veneto;10256116;Sistema ARREDAMENTO
SVAD DONDI SPA;1550490203;Mantova;Lombardia;10254149;Sistema ARREDAMENTO
IND VETRARIA EMAR;2894600960;Monza e della Brianza;Lombardia;10182701;Sistema ARREDAMENTO
DE PADOVA SRL;8216770969;Milano;Lombardia;10162028;Sistema ARREDAMENTO
SAVIO FIRMINO SRL;6378770488;Firenze;Toscana;10145481;Sistema ARREDAMENTO
OAK INDUSTRIA ARREDAMENTI;787050137;Como;Lombardia;10123143;Sistema ARREDAMENTO
SOCIETA ITALIANA COMMERCLE;1440350625;Milano;Lombardia;9978998;Sistema ARREDAMENTO
PALMA SPA;1456110301;Udine;Friuli-Venezia Giulia;9960842;Sistema ARREDAMENTO
FAST SPA;1538840982;Brescia;Lombardia;9956637;Sistema ARREDAMENTO
MALERBA SRL;2289510410;Pesaro Urbino;Marche;9941940;Sistema ARREDAMENTO
STONES SRL;888860418;Pesaro Urbino;Marche;9941377;Sistema ARREDAMENTO
TONON E C. SPA;151300308;Udine;Friuli-Venezia Giulia;9762591;Sistema ARREDAMENTO
CEM SRL;2508680366;Bologna;Emilia-Romagna;9726008;Sistema ARREDAMENTO
VALENTI E CO. SRL;1019910437;Macerata;Marche;9724103;Sistema ARREDAMENTO
TECNOARREDAMENTI SRL;113960934;Pordenone;Friuli-Venezia Giulia;9706954;Sistema ARREDAMENTO
DIELLE SPA;761830264;Treviso;Veneto;9687954;Sistema ARREDAMENTO
GIORGIO COLLECTION SRL;863740965;Monza e della Brianza;Lombardia;9582376;Sistema ARREDAMENTO
JESSE SPA;190400267;Treviso;Veneto;9551065;Sistema ARREDAMENTO
CIT SRL;210530283;Padova;Veneto;9538672;Sistema ARREDAMENTO
ENOFRIGO SPA;813890282;Padova;Veneto;9519923;Sistema ARREDAMENTO
LOIUDICE SRL;4504560725;Bari;Puglia;9478090;Sistema ARREDAMENTO
RIFLESSI SRL;1536130691;Chieti;Abruzzo;9428795;Sistema ARREDAMENTO
GRUPPO INDUSTRIALE DELTA;5718720724;Bari;Puglia;9420774;Sistema ARREDAMENTO
COPAT LIFE SRL;1736010933;Pordenone;Friuli-Venezia Giulia;9387760;Sistema ARREDAMENTO
GALLOTTI E RADICE SRL;2277520132;Milano;Lombardia;9347813;Sistema ARREDAMENTO
CADORE ARREDAMENTI SRL;2284160260;Treviso;Veneto;9337965;Sistema ARREDAMENTO
BUZZONI SRL;827390295;Rovigo;Veneto;9334607;Sistema ARREDAMENTO
ARKEN SPA;1840780603;Frosinone;Lazio;9327522;Sistema ARREDAMENTO
ERGOGREEN SRL;769780966;Monza e della Brianza;Lombardia;9303065;Sistema ARREDAMENTO
MEDEA SRL;789740966;Monza e della Brianza;Lombardia;9239770;Sistema ARREDAMENTO
ZG MOBILI SRL;180140261;Treviso;Veneto;9193354;Sistema ARREDAMENTO
CORNELIO CAPPELLINI SRL;2343160137;Como;Lombardia;9155234;Sistema ARREDAMENTO
AERRE SRL (PT);1524550470;Pistoia;Toscana;9120710;Sistema ARREDAMENTO
MONDOFLEX SRL;3028230161;Bergamo;Lombardia;9019436;Sistema ARREDAMENTO
PREMOBIL SRL;1351960412;Pesaro Urbino;Marche;8973039;Sistema ARREDAMENTO
ALTONI LEATHER ITALY SPA;4779260720;Bari;Puglia;8870578;Sistema ARREDAMENTO
FERRIMOBILI SRL;3468000405;Rimini;Emilia-Romagna;8869751;Sistema ARREDAMENTO
DIALMA BROWN SRL;5756760962;Cremona;Lombardia;8844425;Sistema ARREDAMENTO
IND VETRARIA VALDARNESE;100900513;Arezzo;Toscana;8836512;Sistema ARREDAMENTO
INNOVA D E P SRL;5074090720;Bari;Puglia;8739438;Sistema ARREDAMENTO
ALTAFLEX SRL;5106880726;Bari;Puglia;8610246;Sistema ARREDAMENTO
SALVADORI CORNICI SRL;890170269;Treviso;Veneto;8604937;Sistema ARREDAMENTO
PEZZINI SPA;42080143;Sondrio;Lombardia;8604415;Sistema ARREDAMENTO
LEGNOX SPA;2091600268;Treviso;Veneto;8599055;Sistema ARREDAMENTO
DECORLEGNO SRL;938830429;Ancona;Marche;8480724;Sistema ARREDAMENTO
GIERRE MOBILI SRL;1155560418;Pesaro Urbino;Marche;8467120;Sistema ARREDAMENTO
DESALTO SPA;226050136;Como;Lombardia;8419101;Sistema ARREDAMENTO
SMANIA INDUSTRIA ITALIANA;4663560284;Venezia;Veneto;8384130;Sistema ARREDAMENTO
MIDA  SRL;3746990401;Forlì-Cesena;Emilia-Romagna;8324087;Sistema ARREDAMENTO
IND BENESSERE ITALIANA;7286180638;Napoli;Campania;8280948;Sistema ARREDAMENTO
DIBIESSE SPA;313850265;Treviso;Veneto;8266049;Sistema ARREDAMENTO
BALDI SRL;4490630482;Firenze;Toscana;8228159;Sistema ARREDAMENTO
FORMITALIA GROUP SPA;1448120475;Pistoia;Toscana;8188867;Sistema ARREDAMENTO
IL BENESSERE SRL;2634980409;Forlì-Cesena;Emilia-Romagna;8178476;Sistema ARREDAMENTO
CONSORZIO PROD E SERV;1185710777;Matera;Basilicata;8138161;Sistema ARREDAMENTO
POZZOLI GROUP SRL;4070240967;Monza e della Brianza;Lombardia;8103751;Sistema ARREDAMENTO
MS ARREDAMENTI SRL;1138120512;Arezzo;Toscana;8061453;Sistema ARREDAMENTO
POTOCCO SPA;648690303;Udine;Friuli-Venezia Giulia;8060602;Sistema ARREDAMENTO
ASNAGHI INTERIORS SPA;945740967;Monza e della Brianza;Lombardia;8048639;Sistema ARREDAMENTO
C.F.G. SRL;4376330488;Firenze;Toscana;8023294;Sistema ARREDAMENTO
ARREDOCLASSIC SRL;1461130419;Pesaro Urbino;Marche;8022630;Sistema ARREDAMENTO
GED ARREDAMENTI SRL;4616370260;Treviso;Veneto;7929795;Sistema ARREDAMENTO
CERESIO ARREDAMENTI SRL;2953290125;Varese;Lombardia;7919030;Sistema ARREDAMENTO
FOGAL REFRIGERATION SRL;309290310;Gorizia;Friuli-Venezia Giulia;7903162;Sistema ARREDAMENTO
LEADER SRL;1679040301;Udine;Friuli-Venezia Giulia;7901166;Sistema ARREDAMENTO
ITALSED SRL;2317960306;Udine;Friuli-Venezia Giulia;7856178;Sistema ARREDAMENTO
A.R. SRL;3500430404;Forlì-Cesena;Emilia-Romagna;7846913;Sistema ARREDAMENTO
CIERREESSE SRL;1744030030;Como;Lombardia;7810538;Sistema ARREDAMENTO
NOVA CUCINA SRL;1176870937;Pordenone;Friuli-Venezia Giulia;7784675;Sistema ARREDAMENTO
ARBOR SRL;170060305;Udine;Friuli-Venezia Giulia;7753686;Sistema ARREDAMENTO
MAXILINE ITALIA SRL;690990676;Teramo;Abruzzo;7707076;Sistema ARREDAMENTO
GIULIO MARELLI ITALIA SPA;707280962;Monza e della Brianza;Lombardia;7703026;Sistema ARREDAMENTO
FAR SRL;2117150264;Treviso;Veneto;7698203;Sistema ARREDAMENTO
FOSSADELLO REAL ESTATE SPA;11193090153;Milano;Lombardia;7695904;Sistema ARREDAMENTO
PESSOTTO RETI SRL;4265190266;Treviso;Veneto;7668688;Sistema ARREDAMENTO
TORRE SRL;177590304;Udine;Friuli-Venezia Giulia;7573778;Sistema ARREDAMENTO
ZINELLI PERIZZI ARREDAMENTO;109290320;Trieste;Friuli-Venezia Giulia;7529178;Sistema ARREDAMENTO
SAHRAI SRL;10792510157;Milano;Lombardia;7454428;Sistema ARREDAMENTO
FRATELLI NALDINI SRL;422880484;Firenze;Toscana;7446166;Sistema ARREDAMENTO
N.F.T. SRL;1723490346;Parma;Emilia-Romagna;7420489;Sistema ARREDAMENTO
DOIMO SALOTTI SPA;195420260;Treviso;Veneto;7313173;Sistema ARREDAMENTO
CODITAL SRL;6282790150;Milano;Lombardia;7305519;Sistema ARREDAMENTO
BONINO EXPO SRL;2294510041;Cuneo;Piemonte;7276378;Sistema ARREDAMENTO
A.F.G. IMBOTTITI SRL -;3397520655;Salerno;Campania;7227066;Sistema ARREDAMENTO
ARREDOKIT SRL;2281360962;Monza e della Brianza;Lombardia;7207263;Sistema ARREDAMENTO
FRAG SRL;1625310303;Udine;Friuli-Venezia Giulia;7206595;Sistema ARREDAMENTO
COMODO ITALIA SRL;3738300726;Bari;Puglia;7135073;Sistema ARREDAMENTO
FIAM ITALIA SRL;1014250417;Pesaro Urbino;Marche;7091140;Sistema ARREDAMENTO
SBABO CUCINE SRL;2334790249;Vicenza;Veneto;7072201;Sistema ARREDAMENTO
BILLIANI SRL;1712230307;Udine;Friuli-Venezia Giulia;6977190;Sistema ARREDAMENTO
ZAMPIERI CUCINE SRL;3287680270;Venezia;Veneto;6898936;Sistema ARREDAMENTO
FAER AMBIENTI SPA;1208740439;Macerata;Marche;6897625;Sistema ARREDAMENTO
OLIVER B. GROUP SRL;2971450230;Verona;Veneto;6887514;Sistema ARREDAMENTO
FAZZUOLI GUIDO E FIGLI SRL;548710482;Firenze;Toscana;6880590;Sistema ARREDAMENTO
GICINQUE SRL;3404840260;Treviso;Veneto;6877458;Sistema ARREDAMENTO
MATERMOLL SRL;3337350106;Genova;Liguria;6869391;Sistema ARREDAMENTO
DIEMME IMMOBILIARE SRL;1429170937;Treviso;Veneto;6829840;Sistema ARREDAMENTO
I.L.C.A. SRL;1860160264;Treviso;Veneto;6821710;Sistema ARREDAMENTO
MASCAGNI CASA SRL;3505001200;Bologna;Emilia-Romagna;6797358;Sistema ARREDAMENTO
INDUSTRIA MOBILI CORAZZIN;203020268;Treviso;Veneto;6787860;Sistema ARREDAMENTO
TIROLO SRL;1265600302;Udine;Friuli-Venezia Giulia;6751473;Sistema ARREDAMENTO
ALCE SRL;1521120350;Reggio nell'Emilia;Emilia-Romagna;6736758;Sistema ARREDAMENTO
BRUNO ZAMPA SRL;3980610236;Verona;Veneto;6713914;Sistema ARREDAMENTO
ALFATEX ITALIA SRL;4865790721;Matera;Basilicata;6712121;Sistema ARREDAMENTO
FACONDINI MATERASSI SRL;977160415;Pesaro Urbino;Marche;6707579;Sistema ARREDAMENTO
ANTECON SRL;820460962;Monza e della Brianza;Lombardia;6618169;Sistema ARREDAMENTO
MERITALIA SPA;919380964;Monza e della Brianza;Lombardia;6593474;Sistema ARREDAMENTO
IL LATTONIERE SRL;2646930731;Taranto;Puglia;6519205;Sistema ARREDAMENTO
LUCIANO ZONTA SRL;2499350243;Vicenza;Veneto;6479319;Sistema ARREDAMENTO
